Shape_Leng,Shape_Area,ORIG_FID,geometry,YEAR,COUNTY,Total Percentage,White Percentage,Black Percentage,Indigenous Percentage,Asian Percentage
3496.84050345,441168.385173,146347,"POLYGON ((212501.29830000177 846841.1952, 212479.43710000068 846840.3510999996, 212474.48160000145 846840.2102000006, 212402.35669999942 846837.9378999993, 212400.70479999855 846837.8910000008, 212400.62579999864 846840.6715999991, 212399.73809999973 846844.2083, 212363.80600000173 846898.0638999995, 212302.91640000045 846960.3381999992, 212288.72470000014 846974.9622000009, 212232.87170000002 847026.2489999998, 212193.74010000005 847065.3213, 212154.10700000077 847122.0778999999, 212140.70850000158 847139.2848000005, 212118.5375000015 847166.0379000008, 212088.59580000117 847186.4485999998, 212043.11560000107 847199.6287999991, 211995.94940000027 847208.4201999996, 211956.5450000018 847221.1052000001, 211904.41939999908 847249.3472000007, 211879.89950000122 847272.9177000001, 211834.51199999824 847335.6346000005, 211809.9924999997 847359.2052999996, 211701.95019999892 847427.3827999998, 211686.32290000096 847437.1808000002, 211656.34580000117 847456.1448999997, 211627.97040000185 847471.3701000009, 211583.13120000064 847495.3680000007, 211569.54300000146 847502.6637999993, 211502.70960000157 847533.3859999999, 211480.057599999 847541.0932999998, 211381.25759999827 847574.9192999993, 211359.24130000174 847582.4221999999, 211322.70919999853 847599.4213999994, 211309.8764999993 847610.6348000001, 211305.76159999892 847614.1916000005, 211300.19000000134 847621.9370000008, 211380.65069999918 847624.2120999992, 211479.68580000103 847626.5682999995, 211578.7082999982 847629.3706, 211678.2813999988 847632.1898999996, 211780.9690000005 847633.4289999995, 211875.08040000126 847634.5377999991, 211880.02919999883 847634.9006999992, 211884.99689999968 847634.5963000003, 211975.3205000013 847636.0441999994, 211980.2661000006 847636.5184000004, 211985.23690000176 847636.1028000005, 212077.5267000012 847637.6076999996, 212081.1446999982 847637.7103000004, 212178.9464999996 847639.1502999999, 212182.80370000005 847639.1484999992, 212188.55150000006 847639.0890999995, 212281.63419999927 847640.3964000009, 212375.72679999843 847642.1787999999, 212380.691300001 847641.9858999997, 212385.64009999856 847642.3490999993, 212479.73889999837 847643.9104999993, 212479.37530000135 847634.5501000006, 212479.4226000011 847610.7312000003, 212478.36569999903 847586.9922000002, 212477.82449999824 847542.3416000009, 212479.6270999983 847498.3140999991, 212484.51300000027 847453.8177000005, 212485.97100000083 847444.0638999995, 212489.70600000024 847417.9008000009, 212493.02639999986 847386.9397, 212493.2762000002 847356.0025999993, 212490.6061999984 847325.3164000008, 212486.0357999988 847295.0212999992, 212479.10570000112 847264.6590999998, 212472.5080000013 847241.9868999999, 212491.14939999953 847242.5167999994, 212493.77160000056 847141.9664999992, 212501.58520000055 847041.5636, 212500.7397999987 847035.3060999997, 212500.4886999987 847030.2899999991, 212500.57519999892 847018.9386999998, 212500.8759999983 847005.5899, 212500.78979999945 846992.0075000003, 212500.80640000105 846985.8859000001, 212500.50200000033 846979.9777000006, 212500.04340000078 846973.9539000001, 212499.97509999946 846968.0524000004, 212499.52679999918 846956.1294, 212499.07449999824 846949.8830999993, 212498.81799999997 846939.5238000005, 212501.29830000177 846841.1952))",2018-2022,Hennepin County,100.0,36.47,51.76,3.53,80.78
2289.57067624,287225.232082,146348,"POLYGON ((211701.95019999892 847427.3827999998, 211687.65399999917 847429.0928000007, 211696.37559999898 847226.7557999995, 211596.16800000146 847223.9185000006, 211496.57690000162 847221.5450999998, 211396.91970000044 847218.7260999996, 211297.3286000006 847216.3554999996, 211198.30070000142 847213.5569000002, 211097.4635999985 847210.7084999997, 210996.0758999996 847207.8458999991, 210898.22769999877 847205.0845999997, 210890.10979999974 847409.1086999997, 210882.5929000005 847611.3680000007, 210982.17559999973 847613.8443, 211081.8273999989 847616.6578000002, 211097.40049999952 847617.0976, 211183.2221999988 847619.0766000003, 211281.62810000032 847621.4123, 211300.19000000134 847621.9370000008, 211305.76159999892 847614.1916000005, 211309.8764999993 847610.6348000001, 211322.70919999853 847599.4213999994, 211359.24130000174 847582.4221999999, 211381.25759999827 847574.9192999993, 211480.057599999 847541.0932999998, 211502.70960000157 847533.3859999999, 211569.54300000146 847502.6637999993, 211583.13120000064 847495.3680000007, 211627.97040000185 847471.3701000009, 211656.34580000117 847456.1448999997, 211686.32290000096 847437.1808000002, 211701.95019999892 847427.3827999998))",2018-2022,Hennepin County,100.0,60.26,54.59,19.65,3.93
4974.20643281,954995.718518,146349,"POLYGON ((212400.70479999855 846837.8910000008, 212402.35669999942 846837.9378999993, 212474.48160000145 846840.2102000006, 212479.43710000068 846840.3510999996, 212501.29830000177 846841.1952, 212500.80460000038 846839.1775000002, 212510.13309999928 846638.4135999996, 212515.84319999814 846506.7824000008, 212517.01440000162 846479.4329000004, 212518.0047999993 846461.2058000006, 212518.8861999996 846435.7403999995, 212519.03449999914 846433.2957000006, 212525.01740000024 846355.7696000002, 212530.52849999815 846322.5324000008, 212532.80420000106 846295.1029000003, 212532.49769999832 846280.9573999997, 212530.12799999863 846236.9215999991, 212530.75239999965 846181.7280000001, 212532.49749999866 846145.2668999992, 212430.58159999922 846174.3170999996, 212370.97190000117 846191.3241000008, 212321.60209999979 846205.3943000007, 212129.20340000093 846260.2641000003, 212101.18809999898 846268.1515999995, 212047.86089999974 846283.0018000007, 212030.55710000172 846287.9652999993, 211928.42190000042 846316.5706999991, 211830.8911000006 846343.8607999999, 211728.4395999983 846372.5712000001, 211626.02679999918 846402.7310000006, 211594.50730000064 846412.0796000008, 211526.4844999984 846431.6378000006, 211325.67159999907 846489.4061999992, 211153.50429999828 846536.5238000005, 211046.39829999954 846565.7796, 211038.9411999993 846567.7952999994, 210919.5337000005 846600.6015000008, 210916.0412000008 846601.6161000002, 210915.16860000044 846629.7532000002, 210910.24159999937 846801.5897000004, 210910.1004000008 846806.5946999993, 210905.71029999852 847004.0471000001, 210898.22769999877 847205.0845999997, 210996.0758999996 847207.8458999991, 211097.4635999985 847210.7084999997, 211198.30070000142 847213.5569000002, 211297.3286000006 847216.3554999996, 211396.91970000044 847218.7260999996, 211496.57690000162 847221.5450999998, 211495.36560000107 847219.8411999997, 211504.6387999989 847020.0789000001, 211513.41519999877 846815.6267000008, 211583.42280000076 846817.6078999992, 211609.45930000022 846818.3449000008, 211712.6710000001 846820.9332999997, 211781.89189999923 846822.8940999992, 211811.70419999957 846823.7387000006, 211910.7498999983 846826.1006000005, 212008.62829999998 846827.9853000008, 212106.4028000012 846830.7589999996, 212206.07770000026 846833.1426999997, 212304.4908999987 846835.6031, 212400.70479999855 846837.8910000008))",2018-2022,Hennepin County,100.0,82.02,56.74,15.73,55.06
2652.06325883,318147.586811,147513,"POLYGON ((211701.95019999892 847427.3827999998, 211809.9924999997 847359.2052999996, 211834.51199999824 847335.6346000005, 211879.89950000122 847272.9177000001, 211904.41939999908 847249.3472000007, 211956.5450000018 847221.1052000001, 211995.94940000027 847208.4201999996, 212043.11560000107 847199.6287999991, 212088.59580000117 847186.4485999998, 212118.5375000015 847166.0379000008, 212140.70850000158 847139.2848000005, 212154.10700000077 847122.0778999999, 212193.74010000005 847065.3213, 212232.87170000002 847026.2489999998, 212288.72470000014 846974.9622000009, 212302.91640000045 846960.3381999992, 212363.80600000173 846898.0638999995, 212399.73809999973 846844.2083, 212400.62579999864 846840.6715999991, 212400.70479999855 846837.8910000008, 212304.4908999987 846835.6031, 212206.07770000026 846833.1426999997, 212106.4028000012 846830.7589999996, 212008.62829999998 846827.9853000008, 211910.7498999983 846826.1006000005, 211811.70419999957 846823.7387000006, 211781.89189999923 846822.8940999992, 211712.6710000001 846820.9332999997, 211609.45930000022 846818.3449000008, 211583.42280000076 846817.6078999992, 211513.41519999877 846815.6267000008, 211504.6387999989 847020.0789000001, 211495.36560000107 847219.8411999997, 211496.57690000162 847221.5450999998, 211596.16800000146 847223.9185000006, 211696.37559999898 847226.7557999995, 211687.65399999917 847429.0928000007, 211701.95019999892 847427.3827999998))",2018-2022,Hennepin County,100.0,13.43,8.53,5.81,84.03
4335.46146524,899903.000592,146350,"POLYGON ((213948.50620000064 846843.0706999991, 213858.65700000152 846406.3803000003, 213770.06799999997 845925.1975999996, 213792.751600001 845712.9015999995, 213814.75299999863 845656.6488000005, 213836.8429000005 845600.0647, 213813.93890000135 845591.5063000005, 213730.6543999985 845560.5170000009, 213578.02959999815 845503.7260999996, 213550.63419999927 845495.2629000004, 213522.5362999998 845489.3398000002, 213500.17130000144 845486.6974999998, 213481.83069999889 845486.5077999998, 213454.75079999864 845486.2910999991, 213431.77160000056 845485.8576999996, 213413.90940000117 845485.4592000004, 213411.15049999952 845582.1131999996, 213410.1790000014 845616.1478000004, 213410.12440000102 845620.8214999996, 213406.77809999883 845624.9559000004, 213276.4373999983 845777.8563000001, 213250.27659999952 845808.9459000006, 213223.06230000034 845838.3358999994, 213193.45690000057 845865.9879999999, 213166.51509999856 845888.5956999995, 213162.6438000016 845891.8247999996, 213130.14779999852 845915.9440000001, 213097.8071999997 845934.6132999994, 212989.66470000148 845996.8728999998, 212948.23039999977 846016.9535000008, 212932.76590000093 846023.6370999999, 212940.17610000074 846026.0744000003, 212981.83659999818 846039.5055999998, 213015.14909999818 846050.2503999993, 213039.77230000123 846050.9519999996, 213140.58689999953 846055.1612, 213131.86459999904 846256.1673000008, 213123.7311999984 846455.8533999994, 213117.36580000073 846657.0362, 213111.6330000013 846858.1249000002, 213113.44220000133 846858.1764000002, 213213.11690000072 846860.5734999999, 213314.49659999833 846863.9110000003, 213415.3033999987 846868.0127000008, 213514.08410000056 846871.3901000004, 213566.628800001 846872.8911000006, 213571.18149999902 846873.3551000003, 213603.64559999853 846875.0618999992, 213633.70949999988 846875.3643999994, 213659.3652999997 846875.6524, 213695.7600999996 846874.8004999999, 213870.16919999942 846854.2979000006, 213948.50620000064 846843.0706999991))",2018-2022,Hennepin County,100.0,16.99,85.99,7.88,55.87
2742.3029789,469531.264409,145390,"POLYGON ((212932.76590000093 846023.6370999999, 212906.2963999994 846035.2390000001, 212863.77760000154 846051.9497999996, 212820.05409999937 846066.7342000008, 212624.53920000046 846120.1671999991, 212532.49749999866 846145.2668999992, 212530.75239999965 846181.7280000001, 212530.12799999863 846236.9215999991, 212532.49769999832 846280.9573999997, 212532.80420000106 846295.1029000003, 212530.52849999815 846322.5324000008, 212525.01740000024 846355.7696000002, 212519.03449999914 846433.2957000006, 212518.8861999996 846435.7403999995, 212518.0047999993 846461.2058000006, 212517.01440000162 846479.4329000004, 212515.84319999814 846506.7824000008, 212510.13309999928 846638.4135999996, 212500.80460000038 846839.1775000002, 212501.29830000177 846841.1952, 212603.33300000057 846843.6511000004, 212704.7916000001 846846.9825999998, 212706.60069999844 846847.0340999998, 212806.18420000002 846849.8684, 212809.17320000008 846849.9535000008, 212909.38589999825 846852.807, 213009.6772999987 846855.6642000005, 213012.66629999876 846855.7493999992, 213111.6330000013 846858.1249000002, 213117.36580000073 846657.0362, 213123.7311999984 846455.8533999994, 213131.86459999904 846256.1673000008, 213140.58689999953 846055.1612, 213039.77230000123 846050.9519999996, 213015.14909999818 846050.2503999993, 212981.83659999818 846039.5055999998, 212940.17610000074 846026.0744000003, 212932.76590000093 846023.6370999999))",2018-2022,Hennepin County,100.0,62.15,102.05,5.37,52.94
2843.79353473,487216.63879,146351,"POLYGON ((213113.44220000133 846858.1764000002, 213111.6330000013 846858.1249000002, 213012.66629999876 846855.7493999992, 213009.6772999987 846855.6642000005, 212909.38589999825 846852.807, 212809.17320000008 846849.9535000008, 212806.18420000002 846849.8684, 212706.60069999844 846847.0340999998, 212704.7916000001 846846.9825999998, 212603.33300000057 846843.6511000004, 212501.29830000177 846841.1952, 212498.81799999997 846939.5238000005, 212499.07449999824 846949.8830999993, 212499.52679999918 846956.1294, 212499.97509999946 846968.0524000004, 212500.04340000078 846973.9539000001, 212500.50200000033 846979.9777000006, 212500.80640000105 846985.8859000001, 212500.78979999945 846992.0075000003, 212500.8759999983 847005.5899, 212500.57519999892 847018.9386999998, 212500.4886999987 847030.2899999991, 212500.7397999987 847035.3060999997, 212501.58520000055 847041.5636, 212493.77160000056 847141.9664999992, 212491.14939999953 847242.5167999994, 212472.5080000013 847241.9868999999, 212479.10570000112 847264.6590999998, 212486.0357999988 847295.0212999992, 212490.6061999984 847325.3164000008, 212493.2762000002 847356.0025999993, 212493.02639999986 847386.9397, 212489.70600000024 847417.9008000009, 212485.97100000083 847444.0638999995, 212484.51300000027 847453.8177000005, 212479.6270999983 847498.3140999991, 212477.82449999824 847542.3416000009, 212478.36569999903 847586.9922000002, 212479.4226000011 847610.7312000003, 212479.37530000135 847634.5501000006, 212479.73889999837 847643.9104999993, 212579.94090000167 847646.7596000005, 212680.7848000005 847649.1831, 212780.98669999838 847652.0349000003, 212783.34629999846 847652.1020999998, 212881.2014000006 847654.4431999996, 212884.1900999993 847654.5284000002, 212981.95380000025 847657.3134000003, 213082.7848000005 847660.1873000003, 213090.3137000017 847459.5985000003, 213097.2039999999 847259.3245999999, 213097.89669999853 847257.1181000005, 213104.19509999827 847058.2736000009, 213113.44220000133 846858.1764000002))",2018-2022,Hennepin County,100.0,78.68,32.2,7.46,32.41
3224.94381085,632858.18504,146352,"POLYGON ((213948.50620000064 846843.0706999991, 213870.16919999942 846854.2979000006, 213695.7600999996 846874.8004999999, 213659.3652999997 846875.6524, 213633.70949999988 846875.3643999994, 213603.64559999853 846875.0618999992, 213571.18149999902 846873.3551000003, 213566.628800001 846872.8911000006, 213514.08410000056 846871.3901000004, 213415.3033999987 846868.0127000008, 213314.49659999833 846863.9110000003, 213213.11690000072 846860.5734999999, 213113.44220000133 846858.1764000002, 213104.19509999827 847058.2736000009, 213097.89669999853 847257.1181000005, 213097.2039999999 847259.3245999999, 213090.3137000017 847459.5985000003, 213082.7848000005 847660.1873000003, 213183.61580000073 847663.0624000002, 213284.44689999893 847665.9389999993, 213385.20870000124 847668.4809000008, 213486.03959999979 847671.3602000009, 213527.64609999955 847672.5486999992, 213571.53350000083 847673.8025000002, 213597.4098000005 847674.5419999994, 213644.44949999824 847675.6636999995, 213712.2531999983 847677.3795999996, 213745.88329999894 847682.2369999997, 213814.2023999989 847685.1928000003, 213887.48220000044 847247.9461000003, 213887.85720000044 847245.8419000003, 213888.3332999982 847242.9614000004, 213948.50620000064 846843.0706999991))",2018-2022,Hennepin County,100.0,65.42,52.57,1.98,3.56
2411.98797542,323442.887886,146786,"POLYGON ((211846.08689999953 844615.3564999998, 211746.39499999955 844612.5328000002, 211644.9593999982 844610.1063000001, 211546.52639999986 844607.3209000006, 211445.01520000026 844604.7837000005, 211436.373399999 844804.5742000006, 211427.18420000002 845004.2369999997, 211426.49190000072 845006.4438000005, 211417.84099999815 845206.5662999991, 211409.09589999914 845407.2418000009, 211510.58680000156 845410.1121999994, 211611.35680000111 845413.4088000003, 211711.66750000045 845416.2485000007, 211811.89930000156 845419.0874000005, 211820.57649999857 845218.4101, 211829.25079999864 845017.8432, 211837.95039999858 844816.3856000006, 211846.08689999953 844615.3564999998))",2018-2022,Hennepin County,100.0,66.45,76.22,8.14,2.93
2412.81133751,323210.092036,146353,"POLYGON ((211445.01520000026 844604.7837000005, 211345.4050000012 844601.8563000001, 211245.16220000014 844599.0237000007, 211144.29610000178 844595.9521999992, 211044.05319999903 844593.1224000007, 211034.74560000002 844794.5638999995, 211025.43809999898 844996.0047999993, 211016.12150000036 845197.7783000004, 211007.45329999924 845398.9013999999, 211108.33999999985 845400.8586999997, 211208.03709999844 845403.1177999992, 211309.47129999846 845405.2047000006, 211409.09589999914 845407.2418000009, 211417.84099999815 845206.5662999991, 211426.49190000072 845006.4438000005, 211427.18420000002 845004.2369999997, 211436.373399999 844804.5742000006, 211445.01520000026 844604.7837000005))",2018-2022,Hennepin County,100.0,86.52,20.0,7.39,38.7
