GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AQNGE001,AQNGE002,AQNGE003,AQNGE004,AQNGE005,AQNGE006,AQNGE007,AQNGE008,AQNGE009,AQNGE010,AQPZE001,AQPZE002,AQPZE003,AQPZE004,AQPZE005,AQPZE006,AQPZE007,AQPZE008,NAME_M,AQNGM001,AQNGM002,AQNGM003,AQNGM004,AQNGM005,AQNGM006,AQNGM007,AQNGM008,AQNGM009,AQNGM010,AQPZM001,AQPZM002,AQPZM003,AQPZM004,AQPZM005,AQPZM006,AQPZM007,AQPZM008
"G27000107701001","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770100","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017701001",,,"270017701001","Block Group 1, Census Tract 7701, Aitkin County, Minnesota",861,823,0,29,1,0,0,8,3,5,861,54,43,18,38,67,17,624,"Block Group 1, Census Tract 7701, Aitkin County, Minnesota",93,92,9,21,3,9,9,6,5,5,93,25,19,15,18,27,11,82
"G27000107701002","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770100","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017701002",,,"270017701002","Block Group 2, Census Tract 7701, Aitkin County, Minnesota",884,761,2,3,0,0,61,57,6,51,881,21,136,37,22,67,21,577,"Block Group 2, Census Tract 7701, Aitkin County, Minnesota",96,93,3,5,9,9,40,23,5,23,96,15,64,22,10,42,21,81
"G27000107701003","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770100","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017701003",,,"270017701003","Block Group 3, Census Tract 7701, Aitkin County, Minnesota",683,652,3,0,2,0,16,10,5,5,680,14,50,27,39,89,44,417,"Block Group 3, Census Tract 7701, Aitkin County, Minnesota",93,93,4,9,3,9,19,8,6,5,93,7,37,11,28,36,30,64
"G27000107702001","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770200","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017702001",,,"270017702001","Block Group 1, Census Tract 7702, Aitkin County, Minnesota",793,734,0,18,0,0,2,39,5,34,788,12,90,12,32,100,17,525,"Block Group 1, Census Tract 7702, Aitkin County, Minnesota",100,98,9,18,9,9,3,21,7,21,100,8,43,10,36,54,12,79
"G27000107702002","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770200","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017702002",,,"270017702002","Block Group 2, Census Tract 7702, Aitkin County, Minnesota",683,641,0,19,0,1,2,20,0,20,679,33,44,13,16,41,65,467,"Block Group 2, Census Tract 7702, Aitkin County, Minnesota",108,107,9,12,9,2,3,14,9,14,108,20,19,11,10,17,59,80
"G27000107702003","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770200","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017702003",,,"270017702003","Block Group 3, Census Tract 7702, Aitkin County, Minnesota",701,647,2,6,0,0,0,46,0,46,692,20,69,64,24,29,3,483,"Block Group 3, Census Tract 7702, Aitkin County, Minnesota",107,107,5,9,9,9,9,25,9,25,107,17,37,54,25,14,4,91
"G27000107703001","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770300","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017703001",,,"270017703001","Block Group 1, Census Tract 7703, Aitkin County, Minnesota",1330,1308,0,19,0,0,0,3,0,3,1297,176,71,83,24,115,8,820,"Block Group 1, Census Tract 7703, Aitkin County, Minnesota",230,231,9,20,9,9,9,5,9,5,222,92,49,44,26,91,9,170
"G27000107703002","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770300","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017703002",,,"270017703002","Block Group 2, Census Tract 7703, Aitkin County, Minnesota",901,878,3,0,0,0,0,20,0,20,832,35,153,24,109,88,0,423,"Block Group 2, Census Tract 7703, Aitkin County, Minnesota",153,149,6,9,9,9,9,17,9,17,142,44,72,25,61,60,9,91
"G27000107703003","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770300","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017703003",,,"270017703003","Block Group 3, Census Tract 7703, Aitkin County, Minnesota",1076,962,10,31,0,0,15,58,19,39,988,42,62,15,36,35,0,798,"Block Group 3, Census Tract 7703, Aitkin County, Minnesota",144,126,11,28,9,9,21,30,17,25,136,29,30,21,27,18,9,134
"G27000107704011","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770401","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017704011",,,"270017704011","Block Group 1, Census Tract 7704.01, Aitkin County, Minnesota",1451,1353,11,39,0,0,2,46,12,34,1451,58,69,82,65,66,73,1038,"Block Group 1, Census Tract 7704.01, Aitkin County, Minnesota",151,149,13,36,9,9,5,27,10,25,151,39,36,44,31,42,57,138
